n#11124961	Fernand_Léger Fernand_léger
n#11149373	René_Magritte René_magritte Rene_magritte
v#00447771	dissolver
n#15071366	Factor_V
n#05960121	Direito_Divino_dos_Reis direito_divino_dos_reis
n#00617059	Decifração descodificação
n#07368256	suspensão
r#00090651	energicamente de_forma_enérgica
n#05813457	Coisa_em_si
n#05158095	preferência
n#12916935	Euphorbiaceae
n#09502298	esfinge Esfinge
n#03240327	broca
n#15206744	fase
a#01234167	inclinado
n#05888215	Nebulosa_solar
n#07801091	pastos pasto
n#00558008	assistência
n#14676042	granada
n#09545171	Familiar familiar
n#06833220	t
n#08628414	Terra_da_Rainha_Maud Terra_da_rainha_maud
r#00049220	actualmente ora atualmente no_presente agora
n#03521076	dobradiça dobradiça bisagra Dobradiça charneira gonzo
a#01707230	mascarado
v#02536557	influir influenciar
v#00585405	preparar_feno
n#06927228	língua_tártara
n#08321218	Sinn_Féin Sinn_Fein Sinn_féin Sinn_fein
a#02396098	amargo
n#14744589	Cloreto_de_Amónio Cloreto_de_amónio Cloreto_de_amônio
v#02647311	possuir
a#01473353	pequeno insignificante
n#07891433	Saqué saquê saquê
n#14097162	Aniseiconia
a#00627204	físico
a#00356339	modificável mutável alterável
n#07740954	McIntosh Mcintosh McIntosh
n#01008378	organização
a#02128388	peripatético
v#00540235	estender ampliar
n#05795957	dolo
v#01541579	verter
r#00133987	bioquimicamente
n#02260183	Psocoptera
n#05277100	queixo
a#01784602	decorrido
v#02238085	adquirir obter atingir comprar arranjar
n#05498460	Putâmen putâmen
n#11446934	difração
n#07343195	repetição
r#00075966	para_trás de_costas
n#01744657	Elapidae
v#00455750	completar
n#05719605	som_puro
n#01631759	Ambystomatidae
n#04948241	rugosidade
n#09963159	detento
n#10006177	Dermatologista
a#01213090	reduzido
v#01144657	andar_à_caça_de montear
n#11726569	Anemonella
n#04962784	vermelho Vermelho vermelho vermelhidão
n#13553916	secreção
n#02093647	Bedlington_Terrier Bedlington_terrier
n#02111500	Cão_de_Montanha_dos_Pirenéus Cão_de_montanha_dos_Pirenéus Cão_de_montanha_dos_pirenéus mastim
n#13982839	suspeita
n#11312120	Josef_Stálin Josef_Stalin Josef_stálin Josef_stalin
n#11212120	Clifford_Odets Clifford_odets
n#09160295	Uruguai Uruguai
n#15129220	Arqueano
n#14451020	urgência
n#01102862	serialização
n#12813189	Thunbergia_alata
n#01828856	Merops
a#01138610	perversa megera
n#10683349	nadador
n#10226413	malabarista prestidigitador
n#04073547	Relíquias relíquia relíquia
n#09557965	Cronos Cronos
n#01377804	Mycobacterium_leprae
n#02749670	Azagaia azagaia
a#00824321	ocidental
n#14737249	trombina trombina
n#05736002	subsunção
n#15100257	bosque_de_coníferas
a#02772012	orwelliana
n#00757080	pecado
n#07025900	Música_Clássica Música_clássica Música_erudita música_clássica
n#06368425	fantasia
n#10595551	sibila
n#10557854	acadêmico
n#13523661	nutrição
n#06447039	Segunda_Epístola_de_Pedro Segunda_epístola_de_pedro
a#03128070	vaginal
n#09147737	Salt_Lake_City Salt_Lake_city
n#06343838	topônimo
n#09513569	Seth
a#02886263	continental
a#00728431	autônomo
v#01307142	nivelar
a#01668858	desorganizado
a#00346991	imutável inalterável
a#02082611	decepcionante
v#01142203	estar_em_uma_emboscada
n#11221268	Giovanni_Pierluigi_da_Palestrina Giovanni_pierluigi_da_palestrina
n#10965550	Douglas_Fairbanks_Jr. Douglas_Fairbanks Jr.
a#01736122	diligente
a#00434384	lácteo esbranquiçado
n#15276959	taxa_de_transferência_de_dados
v#01831143	obsediar
v#01060065	crocitar grasnar
n#10765435	Walter_Mitty
n#14850948	Acetato_de_etila acetato_de_etila
n#01367430	Enterobacteriaceae
n#08904115	Agra
n#04464211	trilha
n#12659730	Rubiales
n#02965617	Carminativo
n#10514429	Arbitro Árbitros árbitro árbitro juiz
n#08993288	Arábia_Saudita
v#02344568	roubar
n#08717915	Cabo_Verde Cabo_Verde Cabo_verde Cabo-Verde
v#02665617	assemelhar
n#09332246	Lago_Nasser Lago_nasser
n#02875013	borda margem
n#11046934	Heinrich_Hertz
n#01874434	Marsupiais Marsupialia marsupiais marsupiais
n#00805868	indexação indexação
n#00716945	lubrificação
n#13933560	crise
n#12746106	buxo
n#08181375	Laurel_and_Hardy Laurel_and_hardy
n#09502906	Tifão
n#10449412	polícia policial
n#14110411	esclerose
n#04918767	imediação
n#04004475	impressora impressor tipógrafo
r#00405868	em_troca reciprocamente
n#07854813	Queijos_da_Suíça
v#01279833	cortar dividir
n#01581984	Nucifraga_columbiana
v#00664788	validar
n#01498989	Myliobatidae
n#01189282	condenação
n#11449784	Diatermia
v#01336541	adquirir_novamente
n#00578405	auditoria_contábil
n#09623038	chefe líder
n#14336317	dispepsia indigestão dispepsia
v#00316631	alongar
a#01642657	revolucionário
n#14297870	picada
n#09702134	anglo-saxão
a#02631812	aórtico
a#01136541	petulante irritadiço
a#01998989	veemente
a#02974615	palestiniano palestino
n#10585496	Xá xá
n#07051975	texto Letra letra letra teor
n#07102034	Catacrese catacrese
n#13645812	gray
n#07489925	ninfomania
n#04817280	obscenidades grosseria
n#01788420	Euriptéridos
n#01402600	Phaeophyta
n#13574928	processamento_de_texto
n#15067375	tantalita
n#12423565	Liliaceae
n#15166897	Horário_Nobre Horário_nobre
n#14999801	Pirimidinas pirimidina
n#15024240	hemoglobina hemoglobina
n#11610823	Pinus_quadrifolia
n#13282007	recompensa
n#12785110	Crassulaceae
n#10911104	Pierre_Corneille Pierre_corneille
n#13498404	infecção
n#01011425	inventários_(elaboração)
v#00057895	parir
v#02290461	adquirir obter beneficiar receber
n#10356213	Banca_de_jornal jornaleiro
n#08540193	burgh
n#09390873	Fobos Fobos
n#14386130	Transtorno_de_estresse_pós-traumático
n#07038400	arranjo
n#07220586	piada anedota historieta
v#00524083	acetilar
n#09071690	Flórida Flórida Florida Florida
n#03543511	Hotspot ponto_quente
n#12261359	Faia_europeia Faia-europeia
n#10581464	assassino_em_série Assassino_em_Série Assassino_em_série Assassinos_em_série assassina_em_série serial_killer
v#02396205	nomear
a#00736299	ruim
n#08005260	corpo
n#07056113	minueto
a#00578523	incompatível
n#06421301	Vade_mecum Vade-mécum Vademecum manual vademécum livro_de_bolso
n#10368009	Freiras freira freira madre religiosa
n#02130190	Acinonyx
n#08853308	La_Paz La_paz La_Paz
v#02465658	marginar
n#08809910	Pisa Pisa
n#06817459	fórmula_empírica
v#02255081	enviar
n#12230347	medronheiro medronho
n#06592991	arquivos arquivo
n#13898899	Esfera esfera bola
r#00110815	adentro no_interior dentro em
n#07860548	Xarope_de_milho
n#04889337	exclusividade
n#03777283	modelo esquema
n#11634526	Cedro_do_incenso cedro-do-incenso
n#15176785	Ventoso
n#06218623	liberalismo Liberalismo liberalismo
a#00420650	sujo grudento encardido
v#00204391	decair piorar
n#01170813	discussão disputa contravenção
a#01470813	magnético
n#08949093	Países_Baixos Holanda Reino_dos_Países_Baixos Países_Baixos Países_baixos PaísesBaixos Holando Neerlândia
n#04141712	Andaime andaime andaime
n#08569998	terreno campos
n#10168584	herdeiro herdeira
n#12588156	Copernicia
n#13934596	ambiente Ambiente
n#07727140	feijão
n#10833304	Tallulah_Bankhead Tallulah_bankhead
n#05427739	Peritónio Peritônio peritônio peritoneu
n#02122298	gato gatinho
n#06008382	geometria_analítica
n#13719683	grão
a#00903894	crítico indispensável essencial
n#09095023	Massachusetts Massachusetts
n#06955560	Línguas_germânicas_orientais
n#03135152	cruz
n#12571330	Spartium
n#14063633	distensão
n#11324212	Arthur_Seymour_Sullivan Arthur_seymour_sullivan
a#02391683	tátil
n#04920000	robustez
n#04680285	sinalização
n#06903115	PASCAL Pascal
n#14779796	dessecante
n#08178321	Estado_fantoche Estado-fantoche
n#04031481	seta
n#01832979	Collocalia
n#06640533	Dow_Jones_&_Company Dow_jones_&_company
n#02913152	prédio edifício casa edifícios
n#05592870	Metáfise
a#02874130	cardiovascular
n#12572373	Tephrosia
a#02061126	traiçoeiro
a#03061455	disciplinar
n#11921949	Antennaria
n#08158314	Dinastia_Shang Dinastia_shang
n#09411430	rio rios
n#08793914	Galiléia Galileia
v#00248026	envelhecer
n#12463975	Abama
n#08735008	Kananga
n#14660314	Ununtrio ununtrio
n#01372372	Chlamydiaceae
n#07405292	lahar lahar
n#13299453	remessa remessa
n#07313814	rompimento
a#00363938	ensolarado
a#01276150	crucial
n#14252184	seminoma
n#08587709	Distrito_escolar
n#04528079	Azinhavre zinabre
n#04600486	bancada bancada
n#01009637	formalização
n#08990203	Papeete
n#03469175	torre_de_artilharia
n#08687709	Capricórnio
n#05994935	teoria_económica
n#14919511	Composto_inorgânico Compostos_inorgânicos
n#02082056	fissípedes
n#09519901	Namtar
n#11483829	momento_magnético momento_magnético
n#07103671	Hipálage hipálage
n#08304135	Liga_Hanseática Liga_hanseática
n#09200193	antipróton antiprotão antipróton
n#12614962	Egeria
n#07474533	vitória_de_Pirro vitória_pírrica Vitória_Pírrica Vitória_pírrica
n#00859001	reação resposta
n#05503705	medula_espinhal medula_espinal
a#00584820	construtivo
a#01211962	mais_alto
a#01678729	especial
v#00375417	congelar
n#03400231	frigideira frigideira sartã
v#00485609	culminar
a#01296816	ilativo
a#02311544	escuso
v#01663749	assar
n#06925917	Iucateque
n#06139285	Psicologia_Experimental psicologia_experimental
v#00350104	continuar prosseguir
a#01794995	Churrigueresco
v#01403314	bater_de_leve
n#01349495	probiótico
n#06955242	frisão
n#02663657	solha
v#02064887	apresentar_aberração
n#10559288	aluno estudante pupilo
n#05202284	voz
n#07612632	pudim
n#05010062	absortividade
v#00334186	dividir separar
n#00258854	retificação correção
a#01564603	fixo rígido
v#02346895	adotar adoptar
n#10991165	Judy_Garland Judy_garland
n#03411927	galeria
n#09352282	Méson Mésons Meson
n#15022617	miosina
n#12524944	Daviesia
n#11202833	Jawaharlal_Nehru Jawaharlal_nehru
v#01818235	alentar
n#12378080	Flacourtia
v#00758333	afirmar
n#15164750	sabá sábado
n#03485655	trabalho_manual artesanato
a#02840328	clitórico
n#08271042	Via_Láctea nebulosa galáxia
n#01642671	Leptodactylidae
n#08971914	Nova_Zelândia NovaZelândia
n#14569121	Doença_de_Wilson Doença_de_wilson
r#00125481	realisticamente
v#01294396	separar
v#00503164	estimular
n#05893356	presunção hipótese
n#14447165	Ressaca ressaca
n#03117199	ficha
n#09167767	Deserto_da_Arábia Deserto_da_arábia
n#12588780	Carandá
v#01137983	torpedear
v#00959714	regressar voltar recorrer
v#00930806	sugestionar
n#11162582	Maria_Madalena
n#02788148	balaustrada
n#07176804	conformidade acordo concordância convenção ajuste
n#00040420	reciprocidade intercambio
n#09884509	mordomo mordomo
n#08982181	Cidade_Quezón Cidade_Quezon
n#12610609	Heteranthera
v#01755816	executar
n#06218162	Federalismo federalismo
n#01001640	vocalização
n#13770729	colher_de_chá
n#09208702	Asteróide Asteroide Asteroides asteroide asteróide
v#01482449	encaixotar
a#02084979	tecnológico
n#07623136	massa
n#09986700	cinismo
n#03268311	cotovelo
n#13324297	ágio ágio
a#02047496	rotundo
n#14097574	afasia afasia
n#06219711	progressismo
n#11315140	Gloria_Steinem Gloria_steinem
n#15174885	Calendário_Juliano calendário_juliano
a#00411009	cristão
n#12937388	cenoura
n#11173475	Dmitri_Mendeleiev Dmitri_mendeleiev
n#11412592	subprodutos
n#12611479	Najas
n#06604066	essência
n#03858085	ossário ossuário
n#06573934	Compiladores_C
n#01019129	iteração
n#05256862	penteado corte_de_cabelo penteado
n#07584423	borsch soparussadebeterraba
n#01257542	Aluvião inundação aluvião
n#09734535	togolense
n#03122073	Ponte_Coberta ponte_coberta
n#08293490	frota
a#02986218	logístico
n#01392380	ameba
n#05980750	iconoclastia
n#03660664	biblioteca Bibliotecas biblioteca bibliotecas
n#15094136	água_de_cristalização
v#00042792	barbear
n#10844401	Ruth_Benedict Ruth_benedict
a#02621348	anarquista
a#01661529	oportuno
n#07485475	anseio desejo_ardente desejo_em_alto_grau desejo_forte desejo_imoderado desejo_intenso desejo_veemente
n#04137217	carteira mochila
n#06966070	Língua_valona valão
n#07941574	biotipo
a#01377933	sem_precedentes
a#02800132	espectral
n#06518719	bilhete
n#13780719	relação parentesco ligação relacionamento
n#03926412	Papel_fotográfico
n#04502670	Tweeter
n#09196103	Rio_amur rio_Amur Amur
n#08067683	construção_civil
n#10847330	Hendrik_Petrus_Berlage
n#06796506	Comunicação_animal comunicação_animal
r#00057388	minuciosamente
n#09827363	garota
n#15171307	dia_do_juizo dia_do_juízo_final
n#04470953	transdutor
n#06526291	Sócio sociedade
n#11651259	Podocarpaceae
n#04889527	humildade
n#00373418	anexação
v#00543016	pegar
n#11381193	Herbert_George_Wells H._G._Wells
n#03770954	visom
n#12141167	Grama_sto._agostinho grama_Sto._Agostinho
n#06537951	estatuto regulamento estatuto regulamentos
n#13427481	adiabático
n#07829412	Molho Molhos tempero
n#12533992	Hardenbergia
n#00939452	composição
n#11114637	Jean_de_La_Fontaine Jean_de_la_fontaine
n#00969087	Primeira_Cruzada Primeira_cruzada
n#14438898	fama renome
a#01372948	benevolente bondoso benévolo
n#01249483	demolição escombro demolição_de_edifícios
n#13425637	acetilação acetilação
n#14500567	bagunça
n#02877266	biberão garrafa mamadeira
n#08467258	expressionismo Expressionismo expressionismo
n#05968288	ocultismo
a#02346557	comum
a#00127948	seguinte próximo
n#02895881	nádegas
n#15294211	Depressões depressão
a#02497141	vão inapto inútil impróprio
n#12890265	sudario
n#11077195	Glenda_Jackson
n#04565375	arma armas
n#02439929	Pata pé
n#00181495	referendo plebiscito
n#09795124	anunciadora anunciador locutor
v#01369758	destruir arruinar
n#14642219	irídio Iridio irídio
n#14475405	infortúnio
n#00118552	Cuspir
n#09345265	Rio_Magdalena
n#03434549	Medicamento_genérico
n#05179567	privilégio
n#03929091	flautim
n#02771004	tecla_backspace retrocesso backspace
n#00916147	aquacultura aquacultura
a#01904485	misturado híbrido
n#07763792	ameixa
n#06504049	Diário_de_Bordo Diário_de_bordo
a#02008082	especular
n#10414865	Pentecostais
v#01696648	adornar colorir
n#14101935	tromboembolismo
n#02906175	bronze
n#12929061	Theaceae
n#08717629	Duala
n#05847956	heurística heurística
n#09204977	Oceano_Árctico Oceano_Ártico
n#01923637	Chaetognatha
n#05403149	soro_de_leite soro
n#04262161	placa_de_som
n#08632894	declinação
r#00340133	literalmente
n#14520278	atmosfera
n#08679369	divisória_de_águas linhas_de_separação horário_nobre
n#11108084	Friedrich_Gottlieb_Klopstock Friedrich_gottlieb_klopstock
v#01394812	espremer
n#05935381	engrama
n#04449290	pedágio
n#15069338	Tetrodotoxina
n#15006118	látex
v#01675963	adornar ornamentar decorar fazer_decoração ornar enfeitar embelezar ladear
n#11499817	Ondas_de_rádio Ondas_de_radio ondas_de_rádio
n#04558578	aquarela
n#10564400	Roteiristas roteirista roteirista
v#01260428	cortar_com_machado
n#08427918	Cavalgada cavalgada
n#03799710	muralismo
a#02570643	absurdo risível
n#13416345	certificado
n#06859401	oitava oitava
n#06073647	Primatologia
n#12747563	Celastraceae
a#02472137	submarino
n#11685179	cápsula
v#00256507	inchar
v#01593937	esmagar
n#13658998	decímetro Decímetro
n#08244062	gangue
n#06704990	Mestrado_em_Direito
n#02005598	Threskiornithidae
n#11509066	floco_de_neve flocodeneve
n#03322940	equipamento_agrícola maquinaria_agrícola
n#06231494	Igreja_Metodista Igreja_metodista Metodismo
r#00499340	circunstancialmente de_forma_circunstancial
n#13480667	filtração
n#02992211	violoncelo violoncelo celo
n#00207434	ostracismo
n#08946187	Gana República_do_Gana Gana Costa_do_Ouro Gold_Coast
n#05004895	rigidez rigidez
v#01462806	misturar
r#00105775	no_máximo no_seu_melhor
n#02879718	arco
n#07893642	champagne champanhe Champagne champanhe champanha
a#01498298	insignificanta
n#05886613	Princípio_de_Pascal Princípio_de_pascal Principio_de_Pascal
n#07157273	jargão gíria calão
n#09774266	Consultor consultor consultor conselheiro assessor
n#00386553	quartel carcaças_de_animais
v#00049900	despir desnudar despojar
n#03820728	rede
n#03497657	chapéu sombreiro
n#02144792	Megaderma
n#09530721	Krishna
n#10311021	mensageiro
n#14761122	cafeína Cafeina cafeína
a#01517921	civil
n#03816136	agulha
n#05408113	corticotrofina corticotropina
v#02435311	associar-se afiliar-se afiliar tornar-se_membro_de_um_grupo
v#00309310	explodir estourar
n#09589323	Ajax
n#13494919	hidrólise hidrólise
n#07714571	couve repolho
n#01491006	Tubarão-azul
v#01168259	fazer_um_piquenique
n#15202230	ano_bissexto Ano_Bissexto ano_bissexto
n#03255030	Haltere haltere halter
n#07969366	Complexo_militar-industrial complexo_militar-industrial
v#01969779	subir
r#00200614	desesperadamente sem_esperanças
n#10589066	pastor pegureiro
n#03449309	goiva
n#06948943	Midlands_Oriental Midlands_oriental
n#02610980	Polynemidae
n#13653349	côvado
n#09714429	iraniano Persa
n#05684249	Choque_cultural choque_cultural
a#02212591	milionésimo milionésima
a#00306034	ensurdecedor
a#00339288	presunçoso
n#08454818	Lei_Marcial lei_marcial
n#08267008	Calendário_perpétuo
n#08733163	Cáli Cali Cáli
a#00311663	descuidado negligente
n#07592094	fricassé
v#00014405	dormir repousar descansar cochilar
n#01329794	Cápsideo Capsídeo
n#13631037	Exabyte
n#03785721	Morrião
v#02115778	sensibilizar
n#11420139	Aberração_óptica
n#10878844	James_Cagney James_cagney
v#00004819	espirrar
n#05663104	referencial
r#00178342	radicalmente
n#07027180	harmonia harmonia
v#02731996	gravitar
n#09259677	fissura crevasse fenda
n#11214707	Omar_Khayyám Omar_Khayyām Omar_Khayyam Omar_khayyam
n#10755257	virgem
n#00964105	Revolta_Camponesa_de_1381 Revolta_camponesa_de_1381
n#12171503	queijo
n#13517080	operação_unária
n#06314808	Oração_Subordinada oração_subordinada
n#09512157	Geb
n#04888703	Hubris húbris hubris
a#02945120	do_tímpano timpânico
a#01664581	pessimista
n#11653728	Dacrycarpus
n#13327676	perda
n#02683936	reconsideração reflexão_tardia
r#00292349	sequencialmente
n#11886537	Rúcula mostarda-persa rúcula
n#11017118	Andrei_Gromiko Andrei_gromiko
n#01720767	Cynodontia
n#00180413	aceitação adoção adopção
n#15239579	temporada temporada tempo estação estações_(clima)
n#07831267	molho_de_tomate molho_de_tomate
n#01071090	tolerância
n#06573600	compilador Compiladores compilador
n#00730247	designação tarefa
n#12394861	Pilea
a#00281657	faiscante reluzente
n#04798185	anormalidade
n#02013034	Grus
n#11079252	Henry_James Henry_james James
n#10253703	legionário legionário
n#03494537	órgão Órgão órgão
n#02207179	zangão
n#03673450	roupa_de_baixo
n#04589190	persiana
n#08328327	Conferência_de_Ialta Conferência_de_ialta
n#02710201	andróide Andróide Robôs_humanoides androide
n#09924540	Engenheiro_Civil
n#11528427	Efeito_tyndall efeito_Tyndall
a#01852174	primário
a#01559484	motorizado
n#11247002	Serguei_Prokófiev Serguei_Prokofiev Serguei_prokofiev
a#02449177	protector
n#08966408	República_de_Malta Malta Malta
n#13493399	herança
n#03071021	água_de_Colónia
n#02036399	Recurvirostridae
n#01803078	faisão faisăo
v#02402695	revolucionar
n#14522265	calma
a#01150915	dura dificil
n#05086269	comprimento_de_onda comprimento_de_onda
n#08319539	Dáil_Éireann Dáil_éireann
r#00006034	indelicadamente grosseiramente
n#05988498	escuridão ignorância
n#08150377	quaker
n#08255660	despedida_de_solteiro
n#03804744	prego prego
n#03367147	planta_baixa
n#08971404	Beira
r#00200243	tomara esperançoso oxalá esperançosamente
n#04674715	aparência rosto
n#08851687	Liège Liége
n#03197666	Digitoxina
n#06612266	bobagem
n#07765361	goiaba goiabeira
n#11967572	Eriophyllum
n#11057679	Arthur_Honegger Arthur_honegger
n#11926185	Argyroxiphium
n#10811708	Leon_Battista_Alberti Leon_battista_alberti
n#05803747	Nota_de_risco
n#05465567	Neurônio Neurônios neurónio neurónio neurônio
n#05714332	Almiscar almíscar almíscar
a#01269073	esfomeado esfomeada com_fome
n#02874086	estande
n#07588947	Guisados guisado
n#13482940	dobra
n#13962498	morte
n#11707668	Umbellularia
v#01204021	acalmar aliviar matar_a_sede
v#00481555	fazer_digestão
n#07900225	Uvas Varietal
n#13366693	acumulação
n#04790942	toxicidade
n#07462808	Grand_National
n#00331655	movimento
n#07927512	refrigerante
n#12257140	Orthilia
n#08384738	Fannie_Mae
n#14781631	Heliotropo
n#07184545	altercação rixa
n#02001428	Ciconiiformes
n#05734018	crítica
n#11023442	George_Ellery_Hale George_ellery_hale
n#05394526	Valva_aórtica
n#13179972	Aspleniaceae
a#02717402	editorial
n#05120116	excesso pletora superabundância
n#01155893	sexismo Sexismo sexismo
n#13586122	coeficiente
n#11213323	Lorenz_Oken Lorenz_oken
n#03258730	gabardina
a#01668567	metódica metódico
n#07269916	Icon
n#08742455	Chihuahua Chihuahua
n#06127683	engenharia_civil Engenharia_Civil Engenharia_civil
n#09431409	Rio_Chari Rio_chari
n#09531409	Balarama
n#12046620	Bletilla
n#09826605	aviador
n#14309653	Síndrome_de_Reye Síndrome_de_reye
n#09230768	pedra Litíase pedras
v#00415398	enraizar acomodar
v#02104690	teleportar teletransportar
v#01196653	devorar
n#09977660	fora-de-lei
n#14864360	gordura lípidos gordura
n#06943558	Línguas_balto-eslávicas
a#00707795	resistente
n#06187756	Arianismo arianismo
v#01362736	pintar
n#03976268	Polaroid
n#08672199	vila lugarejo
n#04742766	alteridade
n#04110068	água_de_rosas
n#08880375	Sheffield
n#02863750	caldeira_de_vapor caldeira caldeiras caldeira
n#08740729	Cancún Cancun
v#00793580	convidar
n#02521241	Gadiformes gadiformes
n#03718335	manômetro
n#10293861	Margrave
n#14933236	Riólito Riolito
n#14084709	alcaptonúria
n#08696737	Continentes
n#13612319	Grado grado
n#00651176	Analogia analogia analogia
n#14563928	doença
n#08805801	Messina
v#00716531	pressupor
a#01792387	austero
n#00371314	expansão
n#09289709	glóbulo
n#02537085	truta truta
n#05247804	glomérulo glomérulo
n#11704620	cânfora
a#01232507	desolado
n#06425065	número
n#10959223	Friedrich_Engels Friedrich_engels
n#04853873	perversão vice
n#11418460	sorte fortuna
n#12609638	Pontederiaceae
v#01878719	bater_de_asas
n#04070727	geladeira refrigerador frigoríficos Frigorífico Frigorifico frigorífico
n#03124474	pano_de_chaminé capuz
n#06281175	detecção
n#13252513	plantação plantação plantio viveirodeplantas
n#10912802	Charles_Augustin_de_Coulomb Charles_augustin_de_coulomb Charles-Augustin_de_Coulomb Charles-augustin_de_coulomb
n#13870680	perpendicular Perpendicularidade
n#00279534	bruxismo
n#11423607	radiação_alfa
n#13864542	entasis
n#00920062	pecuária criação_de_gado
n#04452848	dente
n#04920568	dualidade
n#03725035	máscara
n#01964271	mexilhão
n#05615500	prudência
n#01665541	Tartaruga_de_couro tartaruga-de-couro
n#05320183	pupila pupila
n#02738535	poltrona cadeirão cadeira_de_braços
v#00380872	transportar
n#12336333	Eucalyptus_camaldulensis
v#01207951	cobrir
n#03114041	roupa
n#01806143	pavão_real
n#07099271	repetição
n#03333129	luneta
n#07773428	Água_de_coco Água-de-coco
n#03567635	registrador_de_índice registo_de_índice
n#12572021	Templetonia
n#03262072	Protetor_auricular
n#13715240	poise
n#04990220	intensidade_sonora gritaria
a#01816376	favorito predileto
v#00318816	alongar extender
n#08955626	República_da_Coreia Coreia_do_Sul
n#08216647	destacamento_que_protege_a_retaguarda_de_um_exército retaguarda
n#07084166	entonação
n#08682389	Novo_Mundo Novo_mundo poente
n#08593262	fronteira
n#14023804	Anidrose anidrose
n#05022173	ductilidade
n#14802921	Aço_Inoxidável aço_inoxidável aço_inoxidável
n#06516087	Auto-biografia Livros_autobiográficos autobiografia autobiografia
n#10769905	relojoeiro relojeiro oologista orologisto
a#02531919	cálido
v#01747717	programar
n#01788157	Tachypleus
n#15249799	aniversário
n#08835875	Oceânia Oceania Oceânia Oceania
v#02259547	pechinchar regatear
n#11871496	Arabidopsis_thaliana
n#15124713	Holoceno Holoceno
v#02438535	tratar processar
n#09518578	Igigi
n#10670310	doador contribuinte
n#11461563	inversão
n#01574045	toutinegra
n#13707804	Franco_guineense
n#09680657	papismo
n#07463872	Descida_livre descida_livre
n#07422800	abatimento
n#06940290	australiano
n#14138691	peste Peste_bubônica Peste_bubonica praga
n#05323889	orelha
n#00105624	mais_fino mais_magro
v#00086835	vacinar
n#11039860	Ernest_Hemingway Ernest_hemingway
n#05159725	lucro valor utilidade operacionalidade
a#01077158	carrancudo
a#01570892	natural
n#07045637	ostinato
n#00044150	implementação realização execução
n#06491786	índices_(parâmetros)
n#02894605	quebra-mar
n#06188989	jansenismo
a#02272305	crédulo
v#00927430	aludir sugerir reportar-se fazer_alusão_a dar_dica
n#01070892	inibição
n#01151407	conciliação
n#09988216	ordenhadora
n#15110796	Metabólito Metabolito metabólito metabolito
n#13476111	eritropoiese
n#11060416	Horácio Horacio
n#11025668	Alexander_Hamilton Alexander_hamilton
n#12057895	Cypripedium_fasciculatum
r#00332069	igualmente
n#01618503	secretário
n#14290365	queimadura_solar queimadura_solar queimadura_do_sol
n#06558277	citação
n#13077295	bolor
r#00031606	daqui_para_frente
n#07399137	vibrato
n#05474346	nervo Nervo Nervos nervo
a#00731606	independente
n#04380346	faca
v#00590642	comprender
n#02041492	Larus
a#00709744	inquebrável
n#12952590	Trichomanes_speciosum
n#15196746	Boxing_Day Boxing_day
n#08798382	Canaã
a#00497535	francófono
a#00038750	agencioso ativo
v#01935233	ir
n#00520257	apresentação exibição
v#00240571	encolher murchar
n#05168261	importância magnitude
n#02359324	cão-da-pradaria
n#00582388	emprego ocupação trabalho profissão lugar serviço função ofício
v#00829107	instruir ensinar
n#02153109	caça_grossa
a#02622093	androgênico
n#06623100	correio_aéreo
n#13365286	pão manutenção
a#01958898	registado
n#14538811	biossegurança segurança_biológica
v#00564857	amassar
v#01164273	explorar
n#03978815	polonesa
a#02040233	fraco débil fraca decrépito
n#06869610	arpejo
a#02828123	hidrostática
n#05446394	ribossomo ribossomo
n#00034939	aborto
v#01953334	redirecionar
n#01249991	recessão
n#10368291	primeira_infância
n#08797013	Peninos
n#12003167	Picris_echioides
n#07268967	Oscar Óscar
v#01381549	reagrupar
a#02354234	despida pelado
n#08632678	loxodrómia
a#00664449	curioso
n#14624025	alótropo
n#06232635	puritanismo
n#06558678	coima
n#10956883	George_Eliot George_eliot
a#00431774	límpido transparente
n#00581772	indústria_madeireira abate
n#14903763	Palaquium
v#01417705	golpear arrombar
n#09248477	Montanhas_Costeiras
n#11391759	John_Tuzo_Wilson John_tuzo_wilson
v#02342800	prosperar
a#01514374	intensivo intenso
n#14420240	interligação
n#09649067	Olmecas olmecas
n#03010795	casula casula
n#02509515	quati
v#00694068	prezar venerar
n#09013353	Rīga Riga
n#12811294	Linanthus
n#14489523	Pleno_Emprego pleno_emprego
n#00446980	tiro_com_arco
n#09763784	conhecido amizade amigo
n#11269367	Sigmund_Romberg
n#13571763	urbanização urbanizações
n#12694048	Malpighiaceae
v#00143338	moldar
n#02854739	calças calça gavetas
r#00342624	forçadamente forçosamente
a#01817908	afirmativo otimista
n#12514802	Chordospartium
n#10283170	comandante
n#05236322	plexo
n#11434594	Força_centrifuga força_centrífuga
n#06804606	toque_de_recolher
n#08604891	Parque_Nacional_do_Grand_Canyon
n#01397871	Erva_marinha Ervas_marinhas
n#05296968	gânglio Gânglio_nervoso
n#00414179	hábito costume
n#05767386	Antropomorfismo antropomorfismo antropomorfismo
n#08791167	Oriente_Próximo Oriente_próximo Médio_Oriente Oriente_Médio Médio-Oriente
n#02803666	bumbo bumbo bombo
n#09205890	Rio_Argun
n#08968677	Mongólia
v#01657254	confundir
n#15009192	evaporito
n#04323819	meia estoque_(manutenção)
v#00939277	explicar esclarecer
n#04966717	açafrão açafrão
v#02464866	assinar
r#00089408	altamente muitíssimo
